advies-autoriteit-persoonsgegevens-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-autoriteit-persoonsgegevens-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups/wetsvoorstel-wet-fiscale-stimulering-start-ups-en-scale-ups-advies-autoriteit-persoonsgegevens.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-autoriteit-persoonsgegevens-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups__wetsvoorstel-wet-fiscale-stimulering-start-ups-en-scale-ups-advies-autoriteit-persoonsgegevens.pdf
advies-autoriteit-persoonsgegevens-wetsvoorstel-overige-fiscale-maatregelen-2027	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-autoriteit-persoonsgegevens-wetsvoorstel-overige-fiscale-maatregelen-2027/wetsvoorstel-overige-fiscale-maatregelen-2027-advies-autoriteit-persoonsgegevens.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-autoriteit-persoonsgegevens-wetsvoorstel-overige-fiscale-maatregelen-2027__wetsvoorstel-overige-fiscale-maatregelen-2027-advies-autoriteit-persoonsgegevens.pdf
advies-autoriteit-persoonsgegevens-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-autoriteit-persoonsgegevens-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024/wet-veiligehavenregels-wet-minimumbelasting-2024-advies-autoriteit-persoonsgegevens.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-autoriteit-persoonsgegevens-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024__wet-veiligehavenregels-wet-minimumbelasting-2024-advies-autoriteit-persoonsgegevens.pdf
advies-raad-van-state-miljoenennota-2027	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-raad-van-state-miljoenennota-2027/advies-raad-van-state-miljoenennota-2027-en-septemberrapportage.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-raad-van-state-miljoenennota-2027__advies-raad-van-state-miljoenennota-2027-en-septemberrapportage.pdf
advies-raad-voor-de-rechtspraak-wetsvoorstel-belastingplan-2027	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-raad-voor-de-rechtspraak-wetsvoorstel-belastingplan-2027/wetsvoorstel-belastingplan-2027-advies-raad-voor-de-rechtspraak.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-raad-voor-de-rechtspraak-wetsvoorstel-belastingplan-2027__wetsvoorstel-belastingplan-2027-advies-raad-voor-de-rechtspraak.pdf
advies-raad-voor-de-rechtspraak-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/advies-raad-voor-de-rechtspraak-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups/wetsvoorstel-wet-fiscale-stimulering-start-ups-en-scale-ups-advies-raad-voor-de-rechtspraak.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/advies-raad-voor-de-rechtspraak-wetsvoorstel-fiscale-stimulering-start-ups-en-scale-ups__wetsvoorstel-wet-fiscale-stimulering-start-ups-en-scale-ups-advies-raad-voor-de-rechtspraak.pdf
appreciatietabel-voorstellen-werkgroep-afvalsector	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/appreciatietabel-voorstellen-werkgroep-afvalsector/wetsvoorstel-belastingplan-2027-appreciatietabel-voorstellen-werkgroep-afvalsector.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/appreciatietabel-voorstellen-werkgroep-afvalsector__wetsvoorstel-belastingplan-2027-appreciatietabel-voorstellen-werkgroep-afvalsector.pdf
b-gemeentefonds-2027	03-fondsen	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/b-gemeentefonds-2027/b-gemeentefonds.pdf	/workspace/Prinsjesdag-2026-begroting-2027/03-fondsen/b-gemeentefonds-2027__b-gemeentefonds.pdf
begroting-nationale-politie-2027	02-begrotingen	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/begroting-nationale-politie-2027/begroting-en-beheerplan-nationale-politie-2027-2031.pdf	/workspace/Prinsjesdag-2026-begroting-2027/02-begrotingen/begroting-nationale-politie-2027__begroting-en-beheerplan-nationale-politie-2027-2031.pdf
begroting-raad-voor-de-rechtspraak-2027	02-begrotingen	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/begroting-raad-voor-de-rechtspraak-2027/begrotingsvoorstel-raad-voor-de-rechtspraak-2027.pdf	/workspace/Prinsjesdag-2026-begroting-2027/02-begrotingen/begroting-raad-voor-de-rechtspraak-2027__begrotingsvoorstel-raad-voor-de-rechtspraak-2027.pdf
bijlagen-bij-miljoenennota-2027	01-miljoenennota	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/bijlagen-bij-miljoenennota-2027/01-miljoenennota-bijlage-pdf.pdf	/workspace/Prinsjesdag-2026-begroting-2027/01-miljoenennota/bijlagen-bij-miljoenennota-2027__01-miljoenennota-bijlage-pdf.pdf
c-provinciefonds-2027	03-fondsen	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/c-provinciefonds-2027/c-provinciefonds.pdf	/workspace/Prinsjesdag-2026-begroting-2027/03-fondsen/c-provinciefonds-2027__c-provinciefonds.pdf
cw3.1-kader-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/cw3.1-kader-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024/wet-veiligehavenregels-wet-minimumbelasting-2024-cw3-1-kader.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/cw3.1-kader-wetsvoorstel-wet-veiligehavenregels-wet-minimumbelasting-2024__wet-veiligehavenregels-wet-minimumbelasting-2024-cw3-1-kader.pdf
cw3.1-kaders-belastingplan-2027	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/cw3.1-kaders-belastingplan-2027/wetsvoorstel-belastingplan-2027-cw3-1-kaders-pakket-belastingplan-2027.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/cw3.1-kaders-belastingplan-2027__wetsvoorstel-belastingplan-2027-cw3-1-kaders-pakket-belastingplan-2027.pdf
factsheetbundel	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/factsheetbundel/aanbiedingsbrief-bijlage-factsheetbundel-belastingplan-2027.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/factsheetbundel__aanbiedingsbrief-bijlage-factsheetbundel-belastingplan-2027.pdf
fiscale-sleuteltabel-2027	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/fiscale-sleuteltabel-2027/aanbiedingsbrief-bijlage-fiscale-sleuteltabel-2027.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/fiscale-sleuteltabel-2027__aanbiedingsbrief-bijlage-fiscale-sleuteltabel-2027.pdf
gedragseffecten-belastingmaatregelen	04-belastingplan	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/gedragseffecten-belastingmaatregelen/wetsvoorstel-belastingplan-2027-gedragseffecten-belastingmaatregelen-cpb-2026.pdf	/workspace/Prinsjesdag-2026-begroting-2027/04-belastingplan/gedragseffecten-belastingmaatregelen__wetsvoorstel-belastingplan-2027-gedragseffecten-belastingmaatregelen-cpb-2026.pdf
i-de-koning-rijksbegroting-2027	02-begrotingen	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/i-de-koning-rijksbegroting-2027/1-de-koning.pdf	/workspace/Prinsjesdag-2026-begroting-2027/02-begrotingen/i-de-koning-rijksbegroting-2027__1-de-koning.pdf
iia-staten-generaal-rijksbegroting-2027	02-begrotingen	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/iia-staten-generaal-rijksbegroting-2027/2a-staten-generaal.pdf	/workspace/Prinsjesdag-2026-begroting-2027/02-begrotingen/iia-staten-generaal-rijksbegroting-2027__2a-staten-generaal.pdf
iib-overige-hoge-colleges-van-staat-kabinetten-van-de-gouverneurs-en-de-kiesraad-rijksbegroting-2027	02-begrotingen	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/iib-overige-hoge-colleges-van-staat-kabinetten-van-de-gouverneurs-en-de-kiesraad-rijksbegroting-2027/2b-overigehogecolleges-van-staat-kab-gouverneurs-kiesraad.pdf	/workspace/Prinsjesdag-2026-begroting-2027/02-begrotingen/iib-overige-hoge-colleges-van-staat-kabinetten-van-de-gouverneurs-en-de-kiesraad-rijksbegroting-2027__2b-overigehogecolleges-van-staat-kab-gouverneurs-kiesraad.pdf
iii-algemene-zaken-rijksbegroting-2027	02-begrotingen	https://www.rijksoverheid.nl/site/binaries/site-content/collections/documents/2026/09/15/iii-algemene-zaken-rijksbegroting-2027/3-algemene-zaken-kab-vd-koning-en-ctiv.pdf	/workspace/Prinsjesdag-2026-begroting-2027/02-begrotingen/iii-algemene-zaken-rijksbegroting-2027__3-algemene-zaken-kab-vd-koning-en-ctiv.pdf
